task_id,model,policy,reward,map_name,map_family,map_size,seed,success,steps,total_return,oracle_steps,path_efficiency,collisions,invalid_actions,pickup_step,cycle_events,interaction_cycle_events,state_revisit_rate,mean_inference_ms
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,101,1,24,10.19,16,0.6666666666666666,0,0,9,3,0,0.25,0.23648933328483204
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,211,1,20,10.17,16,0.8,0,0,5,2,0,0.15,1.362770500145416
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,307,1,30,10.219999999999999,16,0.5333333333333333,0,0,17,4,0,0.3333333333333333,0.22163276674594576
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,401,1,28,10.209999999999999,16,0.5714285714285714,0,0,10,4,0,0.35714285714285715,0.2577817499838732
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,503,1,20,10.17,16,0.8,0,0,6,2,0,0.15,0.21847880016139243
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,601,0,120,2.279999999999994,16,0.0,0,0,8,20,0,0.9333333333333333,0.29915850830851315
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,701,1,20,10.17,16,0.8,0,0,4,2,0,0.15,1.3751536000654596
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,809,1,20,10.17,16,0.8,0,0,7,2,0,0.15,0.21377289995143656
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,907,1,24,10.19,16,0.6666666666666666,0,0,12,2,0,0.20833333333333334,0.21578795823036975
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,1009,1,24,10.19,16,0.6666666666666666,0,0,14,3,0,0.20833333333333334,0.221019874970807
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_07_15x15.txt,aisle,15x15,101,1,34,10.689999999999998,26,0.7647058823529411,0,0,14,4,0,0.058823529411764705,0.25098629411706286
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_07_15x15.txt,aisle,15x15,211,1,34,10.689999999999998,26,0.7647058823529411,0,0,8,6,0,0.11764705882352941,0.23379697061981836
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_07_15x15.txt,aisle,15x15,307,1,30,10.67,26,0.8666666666666667,0,0,25,5,0,0.03333333333333333,0.245926633306226
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_07_15x15.txt,aisle,15x15,401,1,32,10.679999999999998,26,0.8125,0,0,14,5,0,0.125,0.23329625000201304
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_07_15x15.txt,aisle,15x15,503,0,180,0.9000000000000002,26,0.0,0,0,,29,0,0.9611111111111111,0.36579614444336683
