task_id,model,policy,reward,map_name,map_family,map_size,seed,success,steps,total_return,oracle_steps,path_efficiency,collisions,invalid_actions,pickup_step,cycle_events,interaction_cycle_events,state_revisit_rate,mean_inference_ms
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,101,1,18,10.16,16,0.8888888888888888,0,0,7,2,0,0.05555555555555555,0.4438593332957276
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,211,1,18,10.16,16,0.8888888888888888,0,0,5,1,0,0.05555555555555555,0.45487583343452165
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,307,1,18,10.16,16,0.8888888888888888,0,0,15,2,0,0.05555555555555555,0.462874722112853
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,401,1,18,10.16,16,0.8888888888888888,0,0,8,2,0,0.05555555555555555,0.4411671109462784
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,503,1,18,10.16,16,0.8888888888888888,0,0,6,1,0,0.05555555555555555,0.35793633322908947
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,601,1,22,10.18,16,0.7272727272727273,0,0,6,2,0,0.18181818181818182,0.3340624091999251
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,701,1,18,10.16,16,0.8888888888888888,0,0,4,1,0,0.05555555555555555,0.3352772222468856
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,809,1,18,10.16,16,0.8888888888888888,0,0,7,1,0,0.05555555555555555,0.31544227790113333
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,907,1,20,10.17,16,0.8,0,0,10,1,0,0.05,0.3192018501522398
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_01_10x10.txt,aisle,10x10,1009,1,22,10.18,16,0.7272727272727273,0,0,14,2,0,0.09090909090909091,0.3207033181834876
TFP-LocalTransport-v1,004_simple_cnn_tabux,001_ppo_categorical,001_dense_transport,test_aisle_07_15x15.txt,aisle,15x15,101,1,28,10.659999999999998,26,0.9285714285714286,0,0,12,3,0,0.03571428571428571,0.9867853214343215
